ACCOUNT_ID,CUSTOMER_ID,INIT_BALANCE,COUNTRY,ACCOUNT_TYPE,IS_FRAUD,TX_BEHAVIOR_ID
0,C_0,184.44,US,I,false,1
1,C_1,175.80,US,I,false,1
2,C_2,142.06,US,I,false,1
3,C_3,125.89,US,I,false,1
4,C_4,151.13,US,I,false,1
5,C_5,140.49,US,I,false,1
6,C_6,178.38,US,I,false,1
7,C_7,130.33,US,I,false,1
8,C_8,147.66,US,I,false,1
9,C_9,158.34,US,I,false,1
10,C_10,190.81,US,I,false,1
11,C_11,150.47,US,I,false,1
12,C_12,128.18,US,I,false,1
13,C_13,175.58,US,I,false,1
14,C_14,161.84,US,I,false,1
15,C_15,125.05,US,I,false,1
16,C_16,190.97,US,I,false,1
17,C_17,198.28,US,I,false,1
18,C_18,181.02,US,I,false,1
19,C_19,190.22,US,I,false,1
20,C_20,131.01,US,I,false,1
21,C_21,172.98,US,I,false,1
22,C_22,189.88,US,I,false,1
23,C_23,168.40,US,I,false,1
24,C_24,147.21,US,I,false,1
25,C_25,110.07,US,I,false,1
26,C_26,143.42,US,I,false,1
27,C_27,161.09,US,I,false,1
28,C_28,191.30,US,I,false,1
29,C_29,196.66,US,I,false,1
30,C_30,147.70,US,I,false,1
31,C_31,186.53,US,I,false,1
32,C_32,126.05,US,I,false,1
33,C_33,180.50,US,I,false,1
34,C_34,154.87,US,I,false,1
35,C_35,101.40,US,I,false,1
36,C_36,171.97,US,I,false,1
37,C_37,139.88,US,I,false,1
38,C_38,182.48,US,I,false,1
39,C_39,166.82,US,I,false,1
40,C_40,100.11,US,I,false,1
41,C_41,149.36,US,I,false,1
42,C_42,186.76,US,I,false,1
43,C_43,124.39,US,I,false,1
44,C_44,132.52,US,I,false,1
45,C_45,187.05,US,I,false,1
46,C_46,119.11,US,I,false,1
47,C_47,156.75,US,I,false,1
48,C_48,123.86,US,I,false,1
49,C_49,196.75,US,I,true,1
50,C_50,180.32,US,I,false,1
51,C_51,144.80,US,I,false,1
52,C_52,108.04,US,I,false,1
53,C_53,132.01,US,I,false,1
54,C_54,150.79,US,I,false,1
55,C_55,193.28,US,I,false,1
56,C_56,110.91,US,I,false,1
57,C_57,155.13,US,I,false,1
58,C_58,170.66,US,I,false,1
59,C_59,154.74,US,I,false,1
60,C_60,181.45,US,I,false,1
61,C_61,154.03,US,I,false,1
62,C_62,196.38,US,I,false,1
63,C_63,160.32,US,I,false,1
64,C_64,158.76,US,I,false,1
65,C_65,144.50,US,I,false,1
66,C_66,159.63,US,I,false,1
67,C_67,138.49,US,I,true,1
68,C_68,157.57,US,I,false,1
69,C_69,129.03,US,I,false,1
70,C_70,118.94,US,I,false,1
71,C_71,118.67,US,I,false,1
72,C_72,161.28,US,I,false,1
73,C_73,165.67,US,I,false,1
74,C_74,147.65,US,I,false,1
75,C_75,108.98,US,I,false,1
76,C_76,175.76,US,I,false,1
77,C_77,187.68,US,I,false,1
78,C_78,192.34,US,I,false,1
79,C_79,184.25,US,I,false,1
80,C_80,189.82,US,I,false,1
81,C_81,192.31,US,I,false,1
82,C_82,154.06,US,I,false,1
83,C_83,139.13,US,I,false,1
84,C_84,170.53,US,I,false,1
85,C_85,127.56,US,I,false,1
86,C_86,181.16,US,I,true,1
87,C_87,184.95,US,I,false,1
88,C_88,189.50,US,I,false,1
89,C_89,158.98,US,I,false,1
90,C_90,194.98,US,I,false,1
91,C_91,157.97,US,I,true,1
92,C_92,145.06,US,I,false,1
93,C_93,166.02,US,I,false,1
94,C_94,199.63,US,I,false,1
95,C_95,191.69,US,I,false,1
96,C_96,179.33,US,I,false,1
97,C_97,108.24,US,I,false,1
98,C_98,161.28,US,I,false,1
99,C_99,148.64,US,I,false,1
100,C_100,163.01,US,I,false,1
101,C_101,184.51,US,I,false,1
102,C_102,124.30,US,I,false,1
103,C_103,173.15,US,I,false,1
104,C_104,111.71,US,I,false,1
105,C_105,122.05,US,I,false,1
106,C_106,179.46,US,I,false,1
107,C_107,133.25,US,I,false,1
108,C_108,181.59,US,I,false,1
109,C_109,110.06,US,I,false,1
110,C_110,114.64,US,I,false,1
111,C_111,169.77,US,I,false,1
112,C_112,104.52,US,I,false,1
113,C_113,157.39,US,I,true,1
114,C_114,191.00,US,I,false,1
115,C_115,153.42,US,I,false,1
116,C_116,168.06,US,I,false,1
117,C_117,102.67,US,I,false,1
118,C_118,163.50,US,I,false,1
119,C_119,160.63,US,I,false,1
120,C_120,157.60,US,I,false,1
121,C_121,139.12,US,I,false,1
